id,session_name,timestamp,target_angle,current_angle,error,motor_status
4412,ml_baseline_90deg,2026-07-09 23:23:52.990849+05:30,0.0,0.0,0.0,0
4413,ml_baseline_90deg,2026-07-09 23:23:53.021969+05:30,0.0,0.0,0.0,0
4414,ml_baseline_90deg,2026-07-09 23:23:53.045034+05:30,0.0,0.0,0.0,0
4415,ml_baseline_90deg,2026-07-09 23:23:53.069719+05:30,0.0,0.0,0.0,0
4416,ml_baseline_90deg,2026-07-09 23:23:53.091704+05:30,0.0,0.0,0.0,0
4417,ml_baseline_90deg,2026-07-09 23:23:53.116627+05:30,0.0,0.0,0.0,0
4418,ml_baseline_90deg,2026-07-09 23:23:53.137607+05:30,0.0,0.0,0.0,0
4419,ml_baseline_90deg,2026-07-09 23:23:53.157935+05:30,0.0,0.0,0.0,0
4420,ml_baseline_90deg,2026-07-09 23:23:53.184310+05:30,0.0,0.0,0.0,0
4421,ml_baseline_90deg,2026-07-09 23:23:53.207731+05:30,0.0,0.0,0.0,0
4422,ml_baseline_90deg,2026-07-09 23:23:53.230843+05:30,0.0,0.0,0.0,0
4423,ml_baseline_90deg,2026-07-09 23:23:53.250514+05:30,0.0,0.0,0.0,0
4424,ml_baseline_90deg,2026-07-09 23:23:53.273704+05:30,0.0,0.0,0.0,0
4425,ml_baseline_90deg,2026-07-09 23:23:53.299366+05:30,0.0,0.0,0.0,0
4426,ml_baseline_90deg,2026-07-09 23:23:53.319646+05:30,0.0,0.0,0.0,0
4427,ml_baseline_90deg,2026-07-09 23:23:53.341547+05:30,0.0,0.0,0.0,0
4428,ml_baseline_90deg,2026-07-09 23:23:53.364567+05:30,0.0,0.0,0.0,0
4429,ml_baseline_90deg,2026-07-09 23:23:53.385395+05:30,0.0,0.0,0.0,0
4430,ml_baseline_90deg,2026-07-09 23:23:53.405083+05:30,0.0,0.0,0.0,0
4431,ml_baseline_90deg,2026-07-09 23:23:53.426431+05:30,0.0,0.0,0.0,0
4432,ml_baseline_90deg,2026-07-09 23:23:53.450078+05:30,90.0,0.0,90.0,2
4433,ml_baseline_90deg,2026-07-09 23:23:53.471479+05:30,90.0,0.0,90.0,2
4434,ml_baseline_90deg,2026-07-09 23:23:53.498597+05:30,90.0,0.0,90.0,2
4435,ml_baseline_90deg,2026-07-09 23:23:53.518560+05:30,90.0,-0.18,90.18,2
4436,ml_baseline_90deg,2026-07-09 23:23:53.538413+05:30,90.0,-0.18,90.18,2
4437,ml_baseline_90deg,2026-07-09 23:23:53.562052+05:30,90.0,-0.18,90.18,2
4438,ml_baseline_90deg,2026-07-09 23:23:53.645864+05:30,90.0,-0.18,90.18,2
4439,ml_baseline_90deg,2026-07-09 23:23:53.742540+05:30,90.0,-0.18,90.18,2
4440,ml_baseline_90deg,2026-07-09 23:23:53.843330+05:30,90.0,-0.18,90.18,1
4441,ml_baseline_90deg,2026-07-09 23:23:53.943174+05:30,90.0,-0.18,90.18,2
4442,ml_baseline_90deg,2026-07-09 23:23:54.045637+05:30,90.0,0.0,90.0,2
4443,ml_baseline_90deg,2026-07-09 23:23:54.143311+05:30,90.0,0.0,90.0,2
4444,ml_baseline_90deg,2026-07-09 23:23:54.243936+05:30,90.0,0.18,89.82,2
4445,ml_baseline_90deg,2026-07-09 23:23:54.343018+05:30,90.0,0.18,89.82,2
4446,ml_baseline_90deg,2026-07-09 23:23:54.442842+05:30,90.0,0.53,89.47,2
4447,ml_baseline_90deg,2026-07-09 23:23:54.542221+05:30,90.0,0.7,89.3,2
4448,ml_baseline_90deg,2026-07-09 23:23:54.642972+05:30,90.0,1.05,88.95,2
4449,ml_baseline_90deg,2026-07-09 23:23:54.743057+05:30,90.0,1.05,88.95,1
4450,ml_baseline_90deg,2026-07-09 23:23:54.866501+05:30,90.0,1.23,88.77,2
4451,ml_baseline_90deg,2026-07-09 23:23:54.942135+05:30,90.0,1.23,88.77,2
4452,ml_baseline_90deg,2026-07-09 23:23:55.045603+05:30,90.0,1.23,88.77,2
4453,ml_baseline_90deg,2026-07-09 23:23:55.148109+05:30,90.0,1.23,88.77,2
4454,ml_baseline_90deg,2026-07-09 23:23:55.244944+05:30,90.0,1.23,88.77,2
4455,ml_baseline_90deg,2026-07-09 23:23:55.345640+05:30,90.0,1.23,88.77,2
4456,ml_baseline_90deg,2026-07-09 23:23:55.474445+05:30,90.0,1.23,88.77,2
4457,ml_baseline_90deg,2026-07-09 23:23:55.545642+05:30,90.0,1.23,88.77,2
4458,ml_baseline_90deg,2026-07-09 23:23:55.646533+05:30,90.0,1.23,88.77,1
4459,ml_baseline_90deg,2026-07-09 23:23:55.746737+05:30,90.0,1.41,88.59,2
4460,ml_baseline_90deg,2026-07-09 23:23:55.846210+05:30,90.0,1.76,88.24,2
4461,ml_baseline_90deg,2026-07-09 23:23:55.946989+05:30,90.0,2.29,87.71,2
